StrongNumberX1	StrongNumberX2	Distance
H2648	H1205	0.783923370993293
H2648	G4422	0.66466902323333
H2648	H1272	0.702516491799287
H2648	H4015	0.823097013628146
H2648	G1790	0.707115270350565
H2648	H5074	0.762969430297547
H2648	H7269	0.817116874198076
H2648	H7461	0.717225802220719
H2648	H4499	0.764051576121498
H2648	H5127	0.607770250580752
H2648	G2350	0.79490466944392
H2648	H7460	0.791514591430213
H2648	H926	0.574583747421475
H2648	H3998	0.782582327802916
H2648	G4692	0.769043701396643
H2648	G5141	0.724602323837887
H2648	H213	0.807957626721904
H2648	H8078	0.79519187496435
H2648	H3415	0.824072004143108
H2648	H7578	0.776698124796971
H2648	H2727	0.791572754030143
H2648	H2649	0.655460016367066
H2648	G5343	0.677450788480969
H2648	H5132	0.8158878590120771
H2648	H2731	0.797924085197239
H2648	H4498	0.821924786110892
H2648	H2844a	0.713246051096982
H2648	H2865	0.719343081830613
H2648	A2112	0.767259605862547
H2648	H2730	0.746687952835107
H2648	G2360	0.6810590778950359
H2648	H6427	0.810159472311313
H2648	G5156	0.690198907845967
H7926	H6437	0.816596954509228
H7926	G5606	0.332806131490342
H7926	H3802	0.708819855979354
H7926	G4762	0.809471288726053
H7926	H7146	0.80787962962963
H7926	G3661	0.810462575710636
H7926	G2776	0.732403186847437
G3918	G1762	0.801200355589669
G3918	G4895	0.710261225003701
G3918	G4905	0.796994898551633
G3918	G4318	0.8160736973236969
G3918	H935	0.6823193840402531
G3918	G2718	0.7539432651097659
G3918	G1096	0.744634754339222
G3918	H3807a	0.822723508008438
G3918	G2064	0.513156805028308
G3918	A5312	0.763596745830777
G3918	H6258	0.814939482191373
G3918	G3936	0.82738845795343
G3918	G1975	0.723971995746189
G3918	G393	0.74337610102316
G3918	G666	0.72693664360331
G3918	G4314	0.79914105577108
G3918	H854	0.790928315976331
G3918	H5978	0.820316550977178
G3918	A2166	0.7983814828808971
G3918	H1961	0.629376183314611
G3918	G1759	0.815344425689253
G3918	G2192	0.732114978065078
G3918	G1511	0.718817293817294
G3918	G5602	0.775272597029966
G3918	H857	0.66934259210575
G3918	G4862	0.790782447792757
G3918	G1510	0.666794079328375
G3918	G1831	0.742221462020317
G3918	H6440	0.82513706786177
G3918	A858	0.722584758920791
G3918	H6965	0.794955026264532
G3918	G1607	0.788980245035824
G3918	G398	0.806857131447295
G3918	G3326	0.810524368660663
G3918	H5973	0.795734865029066
G3918	A7127	0.817981401314735
G3918	A5954	0.827241048433992
G3918	G3854	0.514240730390723
G3918	G2540	0.775368993367344
G3918	G4840	0.775631936501502
G3918	G260	0.7960527046053359
G3918	H6256	0.6920014061583321
G3918	G33	0.796092742931823
G3918	G1880	0.81154609559122
G3918	G1904	0.730658354363808
G3918	H871a	0.806331061410413
G3918	G5550	0.829277174438465
G3918	G5600	0.651403438004745
G3918	G5607	0.68226653202864
G3918	G1531	0.763064927399321
G3918	G5225	0.8232261707763729
G3918	G1660	0.824728425090744
G3918	G5348	0.804362627259093
G3918	G2258	0.603318475274997
G3918	G1904a	0.791882765155674
G3918	G450	0.814122881798141
G3918	G4872	0.801280863293969
G3918	G2240	0.514797393840227
G3918	G3910	0.816715740399951
G3918	H6923	0.825038108494257
G3918	G2076	0.686625269081224
G3918	G3568	0.81510384553977
G3918	H3318	0.790180917108792
G3918	G2252	0.708867205661221
G3918	G3873	0.581312221449568
G3918	G1205	0.811810517572768
G3918	G3922	0.816873880713895
G3918	H4672	0.822234072293772
G3918	G2071	0.63878369258742
G3918	H3162a	0.8036391657962479
G3918	G1764	0.52504664960506
G3918	A383	0.828026484793402
G3918	G2658	0.685672366637167
G3918	H3426	0.717921194620836
G3918	G3952	0.630990932503112
G3918	G4334	0.716609628462438
G3918	G1204	0.78860820387666
G3918	G2186	0.725658720278061
H5298	H2774	0.828731343283582
H5298	H5015b	0.829158993247391
H4658	H2522a	0.796703296703297
H4658	H3783	0.620225166089828
H4658	G4624	0.735519244687877
H4658	G634	0.809722222222222
H4658	H4383	0.719661113935681
H4658	H5557	0.736024321893887
H4658	G4248	0.724351963007425
H4658	H1762	0.640247715247715
H4658	H3832	0.6042899723227591
H4658	H4114	0.737990698071343
H4658	G4098	0.476475380558488
H4658	H4868	0.820288671023965
H4658	G1601	0.774526678771962
H4658	H4384	0.619801397432976
H4658	H6761	0.615381708238851
H4658	G396	0.762535375907469
H4658	G2692	0.653007518796993
H4658	H5754	0.559942495360914
H4658	H1933	0.809722222222222
H4658	G1706	0.776705653021442
H4658	H4288	0.746286231884058
H4658	G2667	0.645751351558974
H4658	H7164	0.790410052910053
H4658	G4350	0.8296770490166721
H4658	G4431	0.656744960692329
H4658	H3381	0.802115510671788
H4658	H8395	0.759946846121961
H4658	H2018	0.696837068160598
H4658	H3782	0.564383300768493
H4658	H4072	0.795455404383976
H4658	H5168	0.816666666666667
H4658	H5307	0.554862177866042
H7272	G4870	0.815854526532714
H7272	G4158	0.760352925996961
H7272	G5286	0.647749620379874
H7272	G1811	0.753400348252116
H7272	H310	0.752719788260336
H7272	H6807	0.790832158870533
H7272	H7097	0.818100048091753
H7272	H6471	0.633905756429438
H7272	H4703	0.549089224016166
H7272	H854	0.820055012618539
H7272	H3534	0.705129725445052
H7272	G1910	0.776813045045699
H7272	H4096	0.731749691356097
H7272	G190	0.715251805527328
H7272	H6119	0.723957097664345
H7272	H3709	0.728410432581873
H7272	H1978	0.612318042889037
H7272	H5977	0.798900150257948
H7272	G3979	0.626071441197004
H7272	H6806	0.68316771677151
H7272	G4347a	0.829289293690555
H7272	G3694	0.7801263714834989
H7272	H7166	0.607378818015837
H7272	H4725	0.772161175407671
H7272	G3326	0.803577693154181
H7272	H5973	0.807557843961344
H7272	G4418	0.746893037783927
H7272	H1980	0.743433192477445
H7272	G4228	0.385145680330122
H7272	H657a	0.809715161695117
H7272	H7273	0.705177270504255
H7272	G679	0.818610570807653
H7272	H1916	0.646125646973456
H7272	H1869	0.739192673811
H7272	H5274a	0.820442038232771
H7272	H8478	0.803167553927701
H7272	G2628	0.825774380776011
H7272	A677	0.816613346914991
H7272	H3247	0.74443345293948
H7272	A7271	0.615239840683647
H7272	H8482	0.816658412712195
H7272	H6541	0.775987116938074
H7272	H4772	0.7037928658663
H7272	G2487	0.677239414053464
H7272	H838	0.496311620465991
H7272	H931	0.686533768607439
H5133	H83	0.826388888888889
H5133	H84	0.551262626262626
H7597	A1096	0.80352684144819
H7597	H1095	0.813781014023732
H7597	G4527	0.829651941097724
H7597	A7598	0
H7597	A1113	0.829584775086505
H7597	H8283	0.800363053022627
H7597	H7974	0.821078431372549
H7597	G4533	0.801747311827957
H7597	H6409	0.820741758241758
H7597	G2976	0.816054243219598
H7597	H6317	0.822855029585799
H7597	G4564	0.786848072562358
H7597	G4528	0.180852348832759
H7597	H8515	0.812074829931973
G3686	H7121	0.689924536722575
G3686	G5122	0.334843527352948
G3686	H3655	0.6339504432280531
G3686	G5102	0.767545186295186
G3686	H7922	0.823864466324473
G3686	G2564	0.566940521624796
G3686	G3687	0.5408496720996721
G3686	A8036	0.27740181975928
G3686	H5971	0.827300663120343
G3686	H8089	0.8228671867925
G3686	G5581	0.66071407189239
G3686	G1941	0.57065169657941
G3686	H8034	0.309000493940951
G3686	G2028	0.57807332660668
G3686	A7761	0.687878859648581
G3686	G3004	0.82007794335608
G3686	H5344	0.74637310472316
G3686	H2143	0.593372340594317
G3686	G2162	0.828266197783461
H6110	H554	0.799165499533147
H6110	G2901	0.762047101449275
H6110	A1701	0.780555555555556
H6110	H1354a	0.803874269005848
H6110	G1743	0.819607843137255
H6110	A8624	0.800910493827161
H6110	H6099	0.816074676691978
H6110	G267	0.799949723479135
H6110	G2478	0.824755321134942
H6110	H5713	0.794857357357357
H6110	G3142	0.820129751461988
H6110	H2634	0.7460016835016841
H6110	H8623	0.792079448329448
H6110	H555	0.763888888888889
H6110	H533	0.813880845130845
H6110	G1730	0.746212121212121
H6110	H2390	0.821130952380952
H348	G2403	0.243470474526676
