xml:id	ref	role	class	type	english	mandarin	gloss	text	after	lemma	normalized	strong	morph	person	number	gender	case	tense	voice	mood	degree	domain	ln	frame	subjref	referent
n43017009005	JHN 17:9!5		adv		not	不	Not	οὐ	 	οὐ	οὐ	3756	PRT-N									069002	69.3			
n43017009006	JHN 17:9!6		prep		for	为	concerning	περὶ	 	περί	περὶ	4012	PREP									090009	90.39			
n43017009007	JHN 17:9!7		det		the	这个	the	τοῦ	 	ὁ	τοῦ	3588	T-GSM		singular	masculine	genitive					092004	92.24			
n43017009008	JHN 17:9!8		noun	common	world	世人	world	κόσμου	 	κόσμος	κόσμου	2889	N-GSM		singular	masculine	genitive					009001	9.23			
n43017009009	JHN 17:9!9	v	verb		praying	祈求	do I pray	ἐρωτῶ	 	ἐρωτάω	ἐρωτῶ	2065	V-PAI-1S	first	singular			present	active	indicative		033012	33.161	A0:n43017001003	n43017001003	
n43017009010	JHN 17:9!10		conj		but	而是	but	ἀλλὰ	 	ἀλλά	ἀλλὰ	235	CONJ									089023	89.125			
n43017009011	JHN 17:9!11		prep		for	为	concerning	περὶ	 	περί	περὶ	4012	PREP									090009	90.39			
n43017009012	JHN 17:9!12	o	pron	relative	those	所~的人	those whom	ὧν	 	ὅς	ὧν	3739	R-GPM		plural	masculine	genitive					092006	92.27			
n43017009013	JHN 17:9!13	v	verb		given	赐给	You have given	δέδωκάς	 	δίδωμι	δέδωκάς	1325	V-RAI-2S	second	singular			perfect	active	indicative		057008	57.71	A0:n43017005006 A1:n43017009012 A2:n43017009014	n43017005006	
n43017009014	JHN 17:9!14	io	pron	personal	me	我	Me	μοι	,	ἐγώ	μοι	3427	P-1DS		singular		dative					092001	92.1			n43017001003
n43017009015	JHN 17:9!15		conj		for	因为	for	ὅτι	 	ὅτι	ὅτι	3754	CONJ									089007	89.33			
n43017009016	JHN 17:9!16	p	pron	personal	yours	你的	Yours	σοί	 	σύ	σοί	4675	S-2SNPM		singular	masculine	dative					092003	92.6			n43017005006
n43017009017	JHN 17:9!17	vc	verb		are	是	they are	εἰσιν	,	εἰμί	εἰσιν	1526	V-PAI-3P	third	plural			present	active	indicative		013001	13.1		n43017009013	
n43017010001	JHN 17:10!1		conj		and		And	καὶ	 	καί	καὶ	2532	CONJ									089017	89.92			
n43017010002	JHN 17:10!2		det		that		things	τὰ	 	ὁ	τὰ	3588	T-NPN		plural	neuter	nominative					092004	92.24			
n43017010003	JHN 17:10!3		adj	possessive	mine	我的	of mine	ἐμὰ	 	ἐμός	ἐμὰ	1699	S-1SNPN		plural	neuter	nominative					092001	92.2			n43017001003
n43017010004	JHN 17:10!4		adj		all	凡是	all	πάντα	 	πᾶς	πάντα	3956	A-NPN		plural	neuter	nominative					059003	59.23			
n43017010005	JHN 17:10!5	p	adj	possessive	yours	你的	Yours	σά	 	σός	σά	4674	S-2SNPN		plural	neuter	nominative					092003	92.8			n43017005006
n43017010006	JHN 17:10!6	vc	verb		are	是	are	ἐστιν	 	εἰμί	ἐστιν	2076	V-PAI-3S	third	singular			present	active	indicative		013001	13.1			
n43017010007	JHN 17:10!7		conj		and	也	and	καὶ	 	καί	καὶ	2532	CONJ									089017	89.92			
n43017010008	JHN 17:10!8		det		the things		-	τὰ	 	ὁ	τὰ	3588	T-NPN		plural	neuter	nominative					092004	92.24			
n43017010009	JHN 17:10!9		adj	possessive	yours	你的	Yours	σὰ	 	σός	σὰ	4674	S-2SNPN		plural	neuter	nominative					092003	92.8			n43017005006
n43017010010	JHN 17:10!10	p	adj	possessive	mine	我的	Mine	ἐμά	,	ἐμός	ἐμά	1699	S-1SNPN		plural	neuter	nominative					092001	92.2			n43017001003
n43017010011	JHN 17:10!11		conj		and	并且	and	καὶ	 	καί	καὶ	2532	CONJ									089017	89.92			
n43017010012	JHN 17:10!12	v	verb		glorified	得~荣耀	I have been glorified	δεδόξασμαι	 	δοξάζω	δεδόξασμαι	1392	V-RPI-1S	first	singular			perfect	passive	indicative		087003	87.24	A1:n43017001003	n43017001003	
n43017010013	JHN 17:10!13		prep		in	因	in	ἐν	 	ἐν	ἐν	1722	PREP									090001	90.6			
n43017010014	JHN 17:10!14		pron	personal	them	他们	them	αὐτοῖς	.	αὐτός	αὐτοῖς	846	P-DPM		plural	masculine	dative					092004	92.11			n43017009013
n43017011001	JHN 17:11!1		conj		and		And	καὶ	 	καί	καὶ	2532	CONJ									091001	91.1			
n43017011002	JHN 17:11!2	adv	adv		no longer	不再	no longer	οὐκέτι	 	οὐκέτι	οὐκέτι	3765	ADV-N									067006	67.130			
n43017011003	JHN 17:11!3	vc	verb		am	在	I am	εἰμὶ	 	εἰμί	εἰμὶ	1510	V-PAI-1S	first	singular			present	active	indicative		085001	85.1		n43017001003	
n43017011004	JHN 17:11!4		prep		in	在	in	ἐν	 	ἐν	ἐν	1722	PREP									083003	83.13			
n43017011005	JHN 17:11!5		det		the	这	the	τῷ	 	ὁ	τῷ	3588	T-DSM		singular	masculine	dative					092004	92.24			
n43017011006	JHN 17:11!6		noun	common	world	世上	world	κόσμῳ	,	κόσμος	κόσμῳ	2889	N-DSM		singular	masculine	dative					001006	1.39			
n43017011007	JHN 17:11!7		conj		but	却	and yet	καὶ	 	καί	καὶ	2532	CONJ													
n43017011008	JHN 17:11!8	s	pron	personal	they	他们	themselves	αὐτοὶ	 	αὐτός	αὐτοὶ	846	P-NPM		plural	masculine	nominative					092004	92.11			n43017009013
n43017011009	JHN 17:11!9		prep		in	在	in	ἐν	 	ἐν	ἐν	1722	PREP									083003	83.13			
n43017011010	JHN 17:11!10		det		the	这	the	τῷ	 	ὁ	τῷ	3588	T-DSM		singular	masculine	dative					092004	92.24			
n43017011011	JHN 17:11!11		noun	common	world	世上	world	κόσμῳ	 	κόσμος	κόσμῳ	2889	N-DSM		singular	masculine	dative					001006	1.39			
n43017011012	JHN 17:11!12	vc	verb		are	在	they are	εἰσίν	,	εἰμί	εἰσίν	1526	V-PAI-3P	third	plural			present	active	indicative		085001	85.1			
n43017011013	JHN 17:11!13	s	pron	personal	and I	我	and I	κἀγὼ	 	κἀγώ	κἀγὼ	2504	P-1NS-K		singular		nominative					089017 092001	89.92 92.1			n43017001003
n43017011014	JHN 17:11!14		prep		to	到	to	πρὸς	 	πρός	πρὸς	4314	PREP									084002	84.18			
