Video Title,Link,Start Time,End Time,Text,Speaker,SplitFromRow
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:08:31.987,00:08:33.315,"Dr. Khalifa: We don't want it, do we?",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:08:34.401,00:08:35.832,We don't wanna deal with that.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:08:35.832,00:08:37.832,We wanna pass from the first test.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:08:38.091,00:08:43.245,Kathy: Alhamdu Lillah. But I know they are for our own good.,Catherine,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:08:50.298,00:08:55.291,"Before I forget, Kathy, let me go to the last verse again, 13 and 14.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:08:55.963,00:08:59.511,"A Muslim, in English, means submitter, okay?",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:08:59.793,00:09:01.993,It means one who does not argue with God.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:09:02.383,00:09:06.147,"A Muslim is one who says ""okay, I'm gonna accept this, this book.""",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:09:06.509,00:09:12.411,"And then, he or she will read the Quran and certain things will not make sense to them.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:09:12.772,00:09:16.707,"Now, they can either submit and say ""okay, I accept this"", or they can argue again with God.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:09:17.348,00:09:20.226,"""What do you mean my life is recorded from birth to death?""",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:09:20.781,00:09:23.701,"You know, ""This doesn't make sense to me."" Ok. This is a person who's arguing.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:09:23.986,00:09:25.577,He's not even a submitter yet.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:09:26.310,00:09:31.479,"So, at first, we come into Islam and we say ""we're gonna accept everything that God says.""",Dr. Khalifa,
