verse_index,verse_id,english,chapter_number,verse_number
9080,9:28,"A talent is about 30 kilograms or 66 pounds or 965 Troy ounces, so 420 talents is about 12.6 metric tons",300,28
9091,10:11,"possibly an Indian sandalwood, with nice grain and a pleasant scent, and good for woodworking",301,11
9094,10:14,"A talent is about 30 kilograms or 66 pounds or 965 Troy ounces, so 666 talents is about 20 metric tons",301,14
9096,10:16,"A shekel is about 10 grams or about 0.32 Troy ounces, so 600 shekels is about 6 kilograms or 13.2 pounds or 192 Troy ounces.",301,16
9097,10:17,A mina is about 600 grams or 1.3 U. S. pounds.,301,17
9109,10:29,A shekel is about 10 grams or about 0.35 ounces.,301,29
9229,14:10,"or, male",305,10
9234,14:15,"That is, the Euphrates.",305,15
9295,16:11,"or, male",307,11
9308,16:24,A talent is about 30 kilograms or 66 pounds.,307,24
9374,18:32,1 seah is about 7 liters or 1.9 gallons or 0.8 pecks,309,32
9448,20:39,A talent is about 30 kilograms or 66 pounds,311,39
9473,21:21,"or, male",312,21
9537,1:3,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh). The Hebrew word rendered “God” is “ אֱלֹהִ֑ים ” (Elohim).",314,3
9543,1:9,"“Behold”, from “ הִנֵּה ”, means look at, take notice, observe, see, or gaze at. It is often used as an interjection.",314,9
9653,5:5,A talent is about 30 kilograms or 66 pounds,318,5
9670,5:22,A talent is about 30 kilograms or 66 pounds,318,22
9675,5:27,"or, seed",318,27
9700,6:25,"A kab was about 2 liters, so a fourth of a kab would be about 500 milliliters or about a pint",319,25
9709,7:1,"1 seah is about 7 liters or 1.9 gallons or 0.8 pecks A shekel is about 10 grams or about 0.35 ounces. In this context, it was probably a silver coin weighing that much.",320,1
9714,7:6,The word translated “Lord” is “Adonai.”,320,6
9724,7:16,"1 seah is about 7 liters or 1.9 gallons or 0.8 pecks A shekel is about 10 grams or about 0.35 ounces. In this context, it was probably a silver coin weighing that much.",320,16
9726,7:18,"1 seah is about 7 liters or 1.9 gallons or 0.8 pecks A shekel is about 10 grams or about 0.35 ounces. In this context, it was probably a silver coin weighing that much.",320,18
9765,9:8,"or, male",322,8
9910,14:13,"A cubit is the length from the tip of the middle finger to the elbow on a man’s arm, or about 18 inches or 46 centimeters.",327,13
9945,15:19,"A talent is about 30 kilograms or 66 pounds, so 1000 talents is about 30 metric tons",328,19
9946,15:20,"A shekel is about 10 grams or about 0.35 ounces, so 50 shekels was about 0.5 kilograms or 1.1 pounds.",328,20
10011,17:27,Hebrew: them,330,27
10039,18:14,A talent is about 30 kilograms or 66 pounds or 965 Troy ounces,331,14
10190,23:24,teraphim were household idols.,336,24
10199,23:33,A talent is about 30 kilograms or 66 pounds or 965 Troy ounces,336,33
10240,25:17,"A cubit is the length from the tip of the middle finger to the elbow on a man’s arm, or about 18 inches or 46 centimeters.",338,17
10310,2:3,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",340,3
10395,4:9,“Jabez” sounds similar to the Hebrew word for “pain”.,342,9
10396,4:10,The Hebrew word rendered “God” is “ אֱלֹהִ֑ים ” (Elohim).,342,10
10399,4:13,Greek and Vulgate add “and Meonothai”,342,13
10559,7:23,“Beriah” is similar to the Hebrew word for “misfortune”.,345,23
10617,9:1,"“Behold”, from “ הִנֵּה ”, means look at, take notice, observe, see, or gaze at. It is often used as an interjection.",347,1
