pdf_page,printed_page,block_order,text,clean_text,bbox,bbox_normalized
11,,9,Paradise. Heaven.,Paradise. Heaven.,"[262.7, 384.882, 487.505, 394.569]","[0.507241, 0.538523, 0.941311, 0.552077]"
11,,9,Jahannaum,Jahannaum,"[262.7, 394.569, 487.505, 404.256]","[0.507241, 0.552077, 0.941311, 0.565631]"
11,,9,Gehenna; Hell.,Gehenna; Hell.,"[262.7, 404.256, 487.505, 413.943]","[0.507241, 0.565631, 0.941311, 0.579185]"
11,,9,Jinns,Jinns,"[262.7, 413.943, 487.505, 423.63]","[0.507241, 0.579185, 0.941311, 0.592738]"
11,,9,"Descendants of Satan. Invisible,","Descendants of Satan. Invisible,","[262.7, 423.63, 487.505, 433.317]","[0.507241, 0.592738, 0.941311, 0.606292]"
11,,9,constant companions of every human,constant companions of every human,"[262.7, 433.317, 487.505, 443.004]","[0.507241, 0.606292, 0.941311, 0.619846]"
11,,9,being from birth to death. When,being from birth to death. When,"[262.7, 443.004, 487.505, 452.691]","[0.507241, 0.619846, 0.941311, 0.6334]"
11,,9,"freed upon death of the human being,","freed upon death of the human being,","[262.7, 452.691, 487.505, 462.378]","[0.507241, 0.6334, 0.941311, 0.646954]"
11,,9,they become Jinns.,they become Jinns.,"[262.7, 462.378, 487.505, 472.065]","[0.507241, 0.646954, 0.941311, 0.660507]"
11,,9,Jum'ah,Jum'ah,"[262.7, 472.065, 487.505, 481.752]","[0.507241, 0.660507, 0.941311, 0.674061]"
