pdf_page,printed_page,block_order,text,clean_text,bbox,bbox_normalized
740,725,16,26; 42:42,26; 42:42,"[40.199, 664.156, 180.44, 674.196]","[0.077619, 0.92928, 0.348407, 0.943327]"
740,725,16,"eternal 2:86,162; 3:88; 4:14; 5:37,","eternal 2:86,162; 3:88; 4:14; 5:37,","[40.199, 674.196, 180.44, 684.235]","[0.077619, 0.943327, 0.348407, 0.957374]"
740,725,17,22:5; 23:14; 25:534,22:5; 23:14; 25:534,"[338.89, 546.601, 476.071, 556.603]","[0.654354, 0.764798, 0.919233, 0.778793]"
740,725,17,Scoffing 9:64; 15:95; 18:106; 21:36,Scoffing 9:64; 15:95; 18:106; 21:36,"[338.89, 556.603, 476.071, 566.605]","[0.654354, 0.778793, 0.919233, 0.792788]"
740,725,17,Scribe 2:282-3; 80:15,Scribe 2:282-3; 80:15,"[338.89, 566.605, 476.071, 576.608]","[0.654354, 0.792788, 0.919233, 0.806783]"
740,725,17,"Scripture 2:53,113; 22:8; 28:45; 34:44","Scripture 2:53,113; 22:8; 28:45; 34:44","[338.89, 576.608, 476.071, 586.61]","[0.654354, 0.806783, 0.919233, 0.820778]"
740,725,17,"disputed 2:79,85,89,101,174,213;","disputed 2:79,85,89,101,174,213;","[338.89, 586.61, 476.071, 596.612]","[0.654354, 0.820778, 0.919233, 0.834773]"
740,725,17,"3:19,23; 4:44,51; 5:41,44; 18:106;","3:19,23; 4:44,51; 5:41,44; 18:106;","[338.89, 596.612, 476.071, 606.615]","[0.654354, 0.834773, 0.919233, 0.848768]"
740,725,17,27:82; 35:40; 41:41; 43:21; 54:43,27:82; 35:40; 41:41; 43:21; 54:43,"[338.89, 606.615, 476.071, 616.617]","[0.654354, 0.848768, 0.919233, 0.862763]"
740,725,17,"given to Moses 2:53,8; 6:91,154-7;","given to Moses 2:53,8; 6:91,154-7;","[338.89, 616.617, 476.071, 626.619]","[0.654354, 0.862763, 0.919233, 0.876758]"
740,725,17,11:110; 17:2; 23:49; 25:35; 28:43;,11:110; 17:2; 23:49; 25:35; 28:43;,"[338.89, 626.619, 476.071, 636.621]","[0.654354, 0.876758, 0.919233, 0.890753]"
740,725,17,32:23; 41:45; 46:12,32:23; 41:45; 46:12,"[338.89, 636.621, 476.071, 646.624]","[0.654354, 0.890753, 0.919233, 0.904748]"
740,725,17,given to Aaron 21:48; 37:117,given to Aaron 21:48; 37:117,"[338.89, 646.624, 476.071, 656.626]","[0.654354, 0.904748, 0.919233, 0.918743]"
740,725,17,"infallible 2:2;5:15;6:38;7:2,52;11:1;","infallible 2:2;5:15;6:38;7:2,52;11:1;","[338.89, 656.626, 476.071, 666.628]","[0.654354, 0.918743, 0.919233, 0.932738]"
740,725,17,"12:1;13:1,43;14:1;15:1;16:89;18:1;","12:1;13:1,43;14:1;15:1;16:89;18:1;","[338.89, 666.628, 476.071, 676.63]","[0.654354, 0.932738, 0.919233, 0.946733]"
740,725,17,19:97; 26:2; 27:1; 28:2; 32:2; 35:31;,19:97; 26:2; 27:1; 28:2; 32:2; 35:31;,"[338.89, 676.63, 476.071, 686.633]","[0.654354, 0.946733, 0.919233, 0.960729]"
740,725,18,"29:35,38; 32:26; 37:137","29:35,38; 32:26; 37:137","[190.69, 626.551, 329.24, 635.842]","[0.368198, 0.876663, 0.635721, 0.889664]"
740,725,18,"Rule 2:255;12:56,80;13:41;16:76;27:23","Rule 2:255;12:56,80;13:41;16:76;27:23","[190.69, 635.842, 329.24, 645.134]","[0.368198, 0.889664, 0.635721, 0.902664]"
740,725,19,"Ruler, God is 12:80","Ruler, God is 12:80","[190.69, 649.35, 319.29, 659.511]","[0.368198, 0.908563, 0.616509, 0.92278]"
740,725,19,Rules (see also Laws) 2:220; 13:41,Rules (see also Laws) 2:220; 13:41,"[190.69, 659.511, 319.29, 669.672]","[0.368198, 0.92278, 0.616509, 0.936997]"
740,725,19,Rumors 4:83; 49:6,Rumors 4:83; 49:6,"[190.69, 669.672, 319.29, 679.833]","[0.368198, 0.936997, 0.616509, 0.951215]"
741,726,1,"37:117;38:29;39:1 -2,23;40:2;42:17,52;","37:117;38:29;39:1 -2,23;40:2;42:17,52;","[40.171, 16.601, 186.541, 26.476]","[0.077565, 0.023228, 0.360187, 0.037045]"
741,726,1,43:2; 44:2; 45:2; 62:2; 80:13,43:2; 44:2; 45:2; 62:2; 80:13,"[40.171, 26.476, 186.541, 36.352]","[0.077565, 0.037045, 0.360187, 0.050863]"
741,726,1,"messengers and 2:129; 3:81,184;","messengers and 2:129; 3:81,184;","[40.171, 36.352, 186.541, 46.227]","[0.077565, 0.050863, 0.360187, 0.064681]"
741,726,1,"4:54,154; 5:110; 19:30; 29:27;","4:54,154; 5:110; 19:30; 29:27;","[40.171, 46.227, 186.541, 56.103]","[0.077565, 0.064681, 0.360187, 0.078498]"
741,726,1,"35:25,32; 57:25-6; 98:2","35:25,32; 57:25-6; 98:2","[40.171, 56.103, 186.541, 65.978]","[0.077565, 0.078498, 0.360187, 0.092316]"
741,726,1,"previous 2:97,105,109,113,121,144-6;","previous 2:97,105,109,113,121,144-6;","[40.171, 65.978, 186.541, 75.854]","[0.077565, 0.092316, 0.360187, 0.106133]"
741,726,1,"3:3,20,23,48,69,186,199;4:46,131,153;","3:3,20,23,48,69,186,199;4:46,131,153;","[40.171, 75.854, 186.541, 85.729]","[0.077565, 0.106133, 0.360187, 0.119951]"
741,726,1,"5:13,48,69;6:20,92,114;9:29; 10:37;","5:13,48,69;6:20,92,114;9:29; 10:37;","[40.171, 85.729, 186.541, 95.604]","[0.077565, 0.119951, 0.360187, 0.133769]"
741,726,1,12:111; 26:196; 28:52; 29:47; 42:14;,12:111; 26:196; 28:52; 29:47; 42:14;,"[40.171, 95.604, 186.541, 105.48]","[0.077565, 0.133769, 0.360187, 0.147586]"
741,726,1,46:12; 57:16; 74:31; 87:18; 98:1,46:12; 57:16; 74:31; 87:18; 98:1,"[40.171, 105.48, 186.541, 115.355]","[0.077565, 0.147586, 0.360187, 0.161404]"
741,726,1,"uphold 2:177,231,285;3:113;4:140;","uphold 2:177,231,285;3:113;4:140;","[40.171, 115.355, 186.541, 125.231]","[0.077565, 0.161404, 0.360187, 0.175221]"
741,726,1,7:169-70; 13:36; 29:45; 35:29; 42:15,7:169-70; 13:36; 29:45; 35:29; 42:15,"[40.171, 125.231, 186.541, 135.106]","[0.077565, 0.175221, 0.360187, 0.189039]"
741,726,1,"Sea (see also ocean, seas)","Sea (see also ocean, seas)","[40.171, 135.106, 186.541, 144.982]","[0.077565, 0.189039, 0.360187, 0.202857]"
741,726,2,"15:40,42; 17:65; 25:63; 34:9; 35:28;","15:40,42; 17:65; 25:63; 34:9; 35:28;","[189.6, 17.401, 329.25, 27.242]","[0.366094, 0.024347, 0.63574, 0.038117]"
741,726,2,"37:40,74,128; 38:83; 72:19","37:40,74,128; 38:83; 72:19","[189.6, 27.242, 329.25, 37.083]","[0.366094, 0.038117, 0.63574, 0.051886]"
741,726,2,"God’s chosen 17:1,3; 18:65;19:2,30;","God’s chosen 17:1,3; 18:65;19:2,30;","[189.6, 37.083, 329.25, 46.924]","[0.366094, 0.051886, 0.63574, 0.065656]"
741,726,2,"20:77; 26:52; 27:15; 37:81,111,122;","20:77; 26:52; 27:15; 37:81,111,122;","[189.6, 46.924, 329.25, 56.765]","[0.366094, 0.065656, 0.63574, 0.079425]"
741,726,2,"38:17,30,41-4; 43:59; 54:9","38:17,30,41-4; 43:59; 54:9","[189.6, 56.765, 329.25, 66.606]","[0.366094, 0.079425, 0.63574, 0.093195]"
741,726,2,idolizing 7:194; 18:102; 21:26;,idolizing 7:194; 18:102; 21:26;,"[189.6, 66.606, 329.25, 76.447]","[0.366094, 0.093195, 0.63574, 0.106964]"
